id,phone,child_id,name,score,light
0,+19493440720,1000,RSDQE,7,red
1,+19493440720,1000,RSDQB,5,red
2,+19493440720,1000,RSDQH,6,orange
3,+19493440720,1000,RSDQP,9,red
4,+19493440720,1001,RSDQE,1,green
5,+19493440720,1001,RSDQB,0,green
6,+19493440720,1001,RSDQH,9,red
7,+19493440720,1001,RSDQP,9,red
8,+19493440720,1002,RSDQE,2,green
9,+19493440720,1002,RSDQB,1,green
10,+19493440720,1002,RSDQH,1,green
11,+19493440720,1002,RSDQP,1,green
12,+19493440720,1003,RSDQE,10,red
13,+19493440720,1003,RSDQB,7,red
14,+19493440720,1003,RSDQH,10,red
15,+19493440720,1003,RSDQP,4,red
16,+19493440720,1004,RSDQE,1,green
17,+19493440720,1004,RSDQB,0,green
18,+19493440720,1004,RSDQH,10,red
19,+19493440720,1004,RSDQP,7,red
20,+19493440720,1005,RSDQE,1,green
21,+19493440720,1005,RSDQB,8,red
22,+19493440720,1005,RSDQH,9,red
23,+19493440720,1005,RSDQP,2,green
24,+19493440720,1006,RSDQE,4,orange
25,+19493440720,1006,RSDQB,7,red
26,+19493440720,1006,RSDQH,6,orange
27,+19493440720,1006,RSDQP,4,red
28,+19493440720,1007,RSDQE,2,green
29,+19493440720,1007,RSDQB,2,green
30,+19493440720,1007,RSDQH,5,green
31,+19493440720,1007,RSDQP,10,red
32,+19493440720,1008,RSDQE,7,red
33,+19493440720,1008,RSDQB,1,green
34,+19493440720,1008,RSDQH,2,green
35,+19493440720,1008,RSDQP,4,red
36,+19493440720,1009,RSDQE,10,red
37,+19493440720,1009,RSDQB,2,green
38,+19493440720,1009,RSDQH,8,red
39,+19493440720,1009,RSDQP,8,red
40,+19493440720,1010,RSDQE,2,green
41,+19493440720,1010,RSDQB,4,red
42,+19493440720,1010,RSDQH,7,red
43,+19493440720,1010,RSDQP,10,red
44,+19493440720,1011,RSDQE,0,green
45,+19493440720,1011,RSDQB,7,red
46,+19493440720,1011,RSDQH,4,green
47,+19493440720,1011,RSDQP,3,orange
48,+19493440720,1012,RSDQE,1,green
49,+19493440720,1012,RSDQB,6,red
50,+19493440720,1012,RSDQH,5,green
51,+19493440720,1012,RSDQP,2,green
52,+19493440720,1013,RSDQE,10,red
53,+19493440720,1013,RSDQB,10,red
54,+19493440720,1013,RSDQH,3,green
55,+19493440720,1013,RSDQP,9,red
56,+19493440720,1014,RSDQE,8,red
