id,phone,child_id,name,score,light
0,+19493440720,1000,RSDQE,8,red
1,+19493440720,1000,RSDQB,9,red
2,+19493440720,1000,RSDQH,5,green
3,+19493440720,1000,RSDQP,8,red
4,+19493440720,1001,RSDQE,0,green
5,+19493440720,1001,RSDQB,1,green
6,+19493440720,1001,RSDQH,9,red
7,+19493440720,1001,RSDQP,2,green
8,+19493440720,1002,RSDQE,2,green
9,+19493440720,1002,RSDQB,3,orange
10,+19493440720,1002,RSDQH,9,red
11,+19493440720,1002,RSDQP,8,red
12,+19493440720,1003,RSDQE,3,green
13,+19493440720,1003,RSDQB,10,red
14,+19493440720,1003,RSDQH,4,green
15,+19493440720,1003,RSDQP,6,red
16,+19493440720,1004,RSDQE,4,orange
17,+19493440720,1004,RSDQB,4,red
18,+19493440720,1004,RSDQH,0,green
19,+19493440720,1004,RSDQP,3,orange
20,+19493440720,1005,RSDQE,2,green
21,+19493440720,1005,RSDQB,1,green
22,+19493440720,1005,RSDQH,9,red
23,+19493440720,1005,RSDQP,1,green
24,+19493440720,1006,RSDQE,7,red
25,+19493440720,1006,RSDQB,4,red
26,+19493440720,1006,RSDQH,2,green
27,+19493440720,1006,RSDQP,8,red
28,+19493440720,1007,RSDQE,1,green
29,+19493440720,1007,RSDQB,6,red
30,+19493440720,1007,RSDQH,10,red
31,+19493440720,1007,RSDQP,1,green
32,+19493440720,1008,RSDQE,7,red
33,+19493440720,1008,RSDQB,6,red
34,+19493440720,1008,RSDQH,0,green
35,+19493440720,1008,RSDQP,1,green
36,+19493440720,1009,RSDQE,5,red
37,+19493440720,1009,RSDQB,3,orange
38,+19493440720,1009,RSDQH,2,green
39,+19493440720,1009,RSDQP,9,red
40,+19493440720,1010,RSDQE,4,orange
41,+19493440720,1010,RSDQB,7,red
42,+19493440720,1010,RSDQH,3,green
43,+19493440720,1010,RSDQP,9,red
44,+19493440720,1011,RSDQE,6,red
45,+19493440720,1011,RSDQB,7,red
46,+19493440720,1011,RSDQH,3,green
47,+19493440720,1011,RSDQP,5,red
48,+19493440720,1012,RSDQE,6,red
49,+19493440720,1012,RSDQB,4,red
50,+19493440720,1012,RSDQH,9,red
51,+19493440720,1012,RSDQP,10,red
52,+19493440720,1013,RSDQE,6,red
53,+19493440720,1013,RSDQB,7,red
54,+19493440720,1013,RSDQH,4,green
55,+19493440720,1013,RSDQP,4,red
56,+19493440720,1014,RSDQE,8,red
57,+19493440720,1014,RSDQB,0,green
58,+19493440720,1014,RSDQH,7,red
59,+19493440720,1014,RSDQP,0,green
60,+19493440720,1015,RSDQE,5,red
61,+19493440720,1015,RSDQB,0,green
62,+19493440720,1015,RSDQH,1,green
63,+19493440720,1015,RSDQP,6,red
64,+19493440720,1016,RSDQE,9,red
65,+19493440720,1016,RSDQB,1,green
66,+19493440720,1016,RSDQH,4,green
67,+19493440720,1016,RSDQP,9,red
68,+19493440720,1017,RSDQE,1,green
69,+19493440720,1017,RSDQB,5,red
70,+19493440720,1017,RSDQH,9,red
71,+19493440720,1017,RSDQP,7,red
72,+19493440720,1018,RSDQE,4,orange
73,+19493440720,1018,RSDQB,1,green
74,+19493440720,1018,RSDQH,3,green
75,+19493440720,1018,RSDQP,4,red
76,+19493440720,1019,RSDQE,0,green
77,+19493440720,1019,RSDQB,0,green
78,+19493440720,1019,RSDQH,3,green
79,+19493440720,1019,RSDQP,6,red
80,+19493440720,1020,RSDQE,9,red
81,+19493440720,1020,RSDQB,3,orange
82,+19493440720,1020,RSDQH,6,orange
83,+19493440720,1020,RSDQP,1,green
84,+19493440720,1021,RSDQE,4,orange
85,+19493440720,1021,RSDQB,2,green
86,+19493440720,1021,RSDQH,10,red
87,+19493440720,1021,RSDQP,6,red
88,+19493440720,1022,RSDQE,9,red
89,+19493440720,1022,RSDQB,4,red
90,+19493440720,1022,RSDQH,3,green
91,+19493440720,1022,RSDQP,5,red
92,+19493440720,1023,RSDQE,3,green
93,+19493440720,1023,RSDQB,9,red
94,+19493440720,1023,RSDQH,3,green
95,+19493440720,1023,RSDQP,9,red
96,+19493440720,1024,RSDQE,0,green
97,+19493440720,1024,RSDQB,4,red
98,+19493440720,1024,RSDQH,4,green
99,+19493440720,1024,RSDQP,2,green
100,+19493440720,1025,RSDQE,5,red
101,+19493440720,1025,RSDQB,1,green
102,+19493440720,1025,RSDQH,2,green
103,+19493440720,1025,RSDQP,8,red
104,+19493440720,1026,RSDQE,5,red
105,+19493440720,1026,RSDQB,3,orange
106,+19493440720,1026,RSDQH,1,green
107,+19493440720,1026,RSDQP,8,red
108,+19493440720,1027,RSDQE,8,red
109,+19493440720,1027,RSDQB,5,red
110,+19493440720,1027,RSDQH,4,green
111,+19493440720,1027,RSDQP,9,red
112,+19493440720,1028,RSDQE,6,red
113,+19493440720,1028,RSDQB,1,green
114,+19493440720,1028,RSDQH,3,green
115,+19493440720,1028,RSDQP,10,red
116,+19493440720,1029,RSDQE,9,red
117,+19493440720,1029,RSDQB,2,green
118,+19493440720,1029,RSDQH,10,red
119,+19493440720,1029,RSDQP,1,green
120,+19493440720,1030,RSDQE,7,red
121,+19493440720,1030,RSDQB,6,red
122,+19493440720,1030,RSDQH,8,red
123,+19493440720,1030,RSDQP,1,green
124,+19493440720,1031,RSDQE,7,red
125,+19493440720,1031,RSDQB,6,red
126,+19493440720,1031,RSDQH,9,red
127,+19493440720,1031,RSDQP,0,green
128,+19493440720,1032,RSDQE,0,green
129,+19493440720,1032,RSDQB,10,red
130,+19493440720,1032,RSDQH,6,orange
131,+19493440720,1032,RSDQP,3,orange
132,+19493440720,1033,RSDQE,10,red
133,+19493440720,1033,RSDQB,4,red
134,+19493440720,1033,RSDQH,6,orange
135,+19493440720,1033,RSDQP,1,green
136,+19493440720,1034,RSDQE,1,green
137,+19493440720,1034,RSDQB,2,green
138,+19493440720,1034,RSDQH,2,green
139,+19493440720,1034,RSDQP,0,green
140,+19493440720,1035,RSDQE,0,green
141,+19493440720,1035,RSDQB,3,orange
142,+19493440720,1035,RSDQH,1,green
143,+19493440720,1035,RSDQP,4,red
144,+19493440720,1036,RSDQE,5,red
145,+19493440720,1036,RSDQB,9,red
146,+19493440720,1036,RSDQH,2,green
147,+19493440720,1036,RSDQP,9,red
148,+19493440720,1037,RSDQE,5,red
149,+19493440720,1037,RSDQB,3,orange
150,+19493440720,1037,RSDQH,9,red
151,+19493440720,1037,RSDQP,3,orange
152,+19493440720,1038,RSDQE,4,orange
153,+19493440720,1038,RSDQB,3,orange
154,+19493440720,1038,RSDQH,4,green
155,+19493440720,1038,RSDQP,6,red
156,+19493440720,1039,RSDQE,10,red
157,+19493440720,1039,RSDQB,9,red
158,+19493440720,1039,RSDQH,4,green
159,+19493440720,1039,RSDQP,9,red
160,+19493440720,1040,RSDQE,10,red
161,+19493440720,1040,RSDQB,6,red
162,+19493440720,1040,RSDQH,5,green
163,+19493440720,1040,RSDQP,2,green
164,+19493440720,1041,RSDQE,3,green
165,+19493440720,1041,RSDQB,7,red
166,+19493440720,1041,RSDQH,4,green
167,+19493440720,1041,RSDQP,7,red
168,+19493440720,1042,RSDQE,5,red
169,+19493440720,1042,RSDQB,6,red
170,+19493440720,1042,RSDQH,8,red
171,+19493440720,1042,RSDQP,2,green
172,+19493440720,1043,RSDQE,7,red
173,+19493440720,1043,RSDQB,2,green
174,+19493440720,1043,RSDQH,10,red
175,+19493440720,1043,RSDQP,4,red
176,+19493440720,1044,RSDQE,3,green
